"","X099535T","X090608T","X098699T","X11770T","X81023T","X81032T","X85421T","X86279T","X86960T","X87823T","X88659T","X88674T","X88724T","X89290T","X96484T"
"BMP6",2.72656967760992,-2.00954753900355,-1.00969567858162,-2.58086242228288,2.76791111335239,1.21710660808339,-1.57816325654808,1.38791392438595,-1.00197784734101,-0.159576245655348,-5.17439214630684,-2.04283126508743,0.297848771745856,2.85218265911817,0.213241506144013
"BMX",-4.23832665556911,-20.0269881344029,-4.37243350186848,-2.62915276364004,-2.31993854820262,-2.92113880852014,-2.59890258811118,-1.84296664106674,-3.35110241143617,-1.94657165310048,-5.85618134610498,-4.04511463688454,-3.69801255109021,-3.81039326103521,-5.08307766030941
"CDH5",0.181344305189731,0.52124174311182,1.79667250315021,1.36484693843883,2.63058253558893,2.17833539594972,1.37883896691196,3.43925078111141,2.96634001915762,1.86388296108606,-0.583177548917868,1.01148848259468,2.38441734319421,2.19360460183055,0.763207585492648
"CLEC14A",0.691346557700766,1.41865412686024,1.6925030804248,0.921794294138565,2.44453190722819,0.940324639410792,1.41602360492659,3.13474172767412,2.21737652964081,3.25545390144979,0.388971990438395,1.24644457222337,1.64462234590739,1.73412212731801,-0.156950392434956
"CXorf36",-0.649045689014309,0.145586163129539,-0.245025297571641,-0.680571663182877,1.16971980355541,0.699178473481248,-0.235604583834704,1.50087342136457,1.24287684340153,1.37435511875481,-0.915345167755534,-1.31840141279367,0.429632031249614,-0.233323430590264,-0.749967384643659
"EDN1",3.84503835396662,1.63137905525327,2.8770747626492,2.72413290405305,-1.59838700749584,4.81099313572165,1.21386982378409,0.421199057704568,1.796095173427,1.30998522052187,-2.11123999889203,1.89283008243646,1.73058778972925,-0.964452097668719,-0.0230572027278225
"ELTD1",-0.401756771408096,-0.589589421902479,0.438782539473586,0.882150003561688,1.77034278114896,1.73337169623925,1.49551609361625,2.29161829136057,2.06078065376256,1.86641743777224,-0.57440105169136,-0.0530835287806449,1.34884427323234,1.13031808838738,-0.249515261191935
"EMCN",-0.292772083203453,-1.00880416614233,-0.732742280857685,-0.226140357735674,0.689952139798154,0.434326647836544,0.930608671808813,1.69781384444809,0.723916733489992,0.74385960540508,-3.09813487864433,-0.732586454167297,1.08014597862949,-0.0195841827075347,-2.21170518533606
"ESAM",1.15528941368178,2.63153039084929,2.60382215251564,3.24999743416718,3.18855284587551,2.81183885032164,1.95773633958468,3.99390075563742,3.50269975811953,3.63515072403263,1.21139229199523,1.46745687147555,3.19646698509464,2.67015371429109,1.64384233983585
"ESM1",-0.817452614814032,-1.13736849381341,2.49083964793742,1.56526083273899,2.66799427940553,1.74021089056455,0.501739754923932,2.96441526792453,3.10384001883894,1.96369236133276,2.79645862735205,-1.24987375888161,1.46805670889677,2.76279739535072,-0.0599550613548489
"FAM124B",-3.60704870011433,-2.22305717597886,-2.28223519486536,-2.23022149152284,-1.09035744502871,-2.57245389606883,-1.45352973938257,-0.40506168881462,-1.35720787272924,-1.26678104043054,-20.6189033957658,-1.07413422675334,-1.17249637079947,-1.95923378877826,-2.71340268899163
"HECW2",-2.03572115065353,-3.09864147979699,-1.3798039910728,-1.22637494243289,0.647323720659253,0.62789628188395,-1.04083820436616,1.5598441842249,0.142740172116082,-0.71001920753175,-3.9165543212298,-1.82994163558037,0.217789070755493,-0.311758756266324,-1.17236630247962
"HHIP",-4.11498986118153,-4.39435927060837,-19.7680698370413,-5.29908449291276,-3.28892452704122,-3.35040035893865,-1.33159399909709,-4.20679894188552,-4.75396216584139,-1.08519670536257,-20.6189033957658,-4.15536431759432,-3.25508803713054,-2.15276632067123,-3.76190384314942
"KDR",-0.645753227913389,-0.54471250162368,0.282119500049503,0.179676648144941,1.74176466322604,2.2007522933884,0.608468631838092,3.0847684275209,2.22796898147691,0.629557126183777,-1.96760570935033,-0.0580012975521768,1.77289067903267,1.60500118258869,-0.521951815383296
"MMRN1",-3.73080403574048,-4.91524776096001,-2.18389349481452,-3.59914208991282,-0.226066108656717,0.119396020771389,0.136532656848752,0.278817403074722,-0.69173233269255,-0.610016959182353,-2.49078859987003,-1.70444623026449,-2.40076600884365,-1.21905836137631,-3.93584557604676
"MMRN2",-0.574796385367002,-0.814727142786845,0.807429115894739,0.321293169375513,1.68385362652743,0.849350801419883,1.05016035564729,2.70453780466922,2.01416958760437,1.6918467894127,-0.0390227881718276,3.84506847149869,1.78635380146524,1.3229203277865,-0.198987069674611
